title,2億の失敗プロジェクトを経験したからこそ伝えたい要件定義前にやるべきこと│【リカイゼン】見積依頼・発注先探しのビジネスマッチングサイト
p,            BUSINESS TIPS発注担当者の方へ、発注成功の為のお役立ち情報
h1,  2億の失敗プロジェクトを経験したからこそ伝えたい要件定義前にやるべきこと
h2,    2億の失敗プロジェクトを経験したからこそ伝えたい要件定義前にやるべきこと
p,            
p,            「日経コンピュータ」の調査によると、システム開発のプロジェクト成功率は15年前の26.7％から昨年は52.8％と26.1ポイントも改善されたそう。成功率が劇的に向上した！と楽観視する一方で、半分が失敗しているというのも現実です。ちなみに失敗理由の筆頭は、「要件定義が不十分」で、スケジュールを守れなかった理由は「システムの使用変更が相次いだから」としており、スケジュールを守れなかったプロジェクトで最も苦労した工程は、ここでも「要件定義」という回答が最も多かった。
h2,    目次
h2,    業務構造を知らずして、要件定義は成り立たない
p,            以前勤務していた会社の業務システム開発の予算は2億円でした。それまで使用していたシステムは、Accessベースのもので増設を繰り返し、不具合の箇所を直すと、ほかで不具合が発生するような危険な状態でした。システムの不具合を回避するために知らぬ間にアナログの運用ルールが増えていき、データのトレーサビリティや整合性が取れない状態にまでなっていました。当時の経営層は、大規模なシステム開発が初めてで、2億という予算を提示したことで満足してしまい、まずはプロの業務コンサルにお金をかけて業務整理をした上で要件定義に入るべきだという開発会社からのアドバイスを無視する決断をしてしまったのです。そして予想どおり、2億を使いきっても一部のシステムしか開発できず、2年のうちにさらに2億以上の予算をかけて開発しなおすことになりました。目先の予算に囚われて、業務構造を知らぬまま、要件定義をしてしまったことで倍以上のコストがかかった失敗プロジェクトになりました。
h2,    要件定義を制する者が、プロジェクトを成功に導く
p,            世界基準に比べ保有者数は下回るものの、日本国内でもPMP資格保有者数は年々増加しています。またプロジェクト管理ツールも数多く出回るなど、システム開発のプロジェクト管理は環境として随分と改善されてきています。それに伴い、システム開発プロジェクトの成功率も上昇しているのだと推測されますが、それでもまだプロジェクトの肝である「要件定義」に課題感が残る現状です。ではどのように要件定義を進めれば、成功率を引き上げることができるのでしょうか。
h3,      要件定義の基本的な流れ
p,            まずは開発の全体像と、要件定義の基本的な流れを把握しておきましょう。
h4,        【ソフトウェアの開発プロセス】
p,            STEP1　企画STEP2　業務設計STEP3　要件定義★STEP4　設計STEP5　実装STEP6　テストSTEP7　導入STEP8　リリース
h4,        【要件定義の基本的な流れ】
p,            STEP1　要望を出すSTEP2　要望から要求への変換STEP3　要求の検討STEP4　代替案の提案STEP5　提案⇔要求の繰り返しSTEP6　合意＝要件の成立
h2,    一番手間をかけるべきは、要件定義の前準備
p,            前述したとおり、業務コンサルをスキップして要件定義したために2億を無駄にしてしまったわけですから、要件定義前にやるべき準備をご紹介します。
h3,      企画内容の確認
p,            システム開発をするという決断はとても大きなものです。何かしらの課題があり、目的があって企画され予算が割り当てられるわけですから、どういった背景があるのかを把握しておきまそう。もし企画書が存在しない…なんてことがあれば、ゴールが無いレースに出るようなものです。分厚い企画書があっても内容が不十分では同じこと。最低でも下記7項目は確認しておきましょう。●なぜ開発するのか●何を開発するのか●それはいったい何をするものか●それを使う人はだれか●使った人が得られるベネフィットは何か●どんな体制でつくるのか●いつまでにつくるのか
h2,    業務整理は横断的に
p,            業務整理となると、部署ごとに呼び出されて業務ヒアリングを受けて、個別に進められることが多いです。最初は各部署の担当者が業務を整理・把握する必要がありますが、セカンドステップでは、部署の代表者を集めて関係性を明確にさせます。例えば、自分の部署では売り上げを入力することが仕事だとします。その数字をほかのだれが見ているか知っていますか？その数字を使ってほかにどんな業務があるか知っていますか？もし、先月の売上数字をあなたが削除してしまった場合、どんな影響が出るか知っていますか？このように、自分の仕事のはじめと終わりは分かっていても、その続きがあることや互いの関係性を理解して作業に従事しているのはかなり稀なケースです。一堂に会して話していると、どうりで数字が合わないわけだとか、問題点がシステムではなく運用で解決できるものだったという気づきが生まれ、本来開発すべき要件がどんどん整理されていきます。この作業は会議で押し問答になったり、時間がかかったりとかなり負荷が高いですが端折ったりせず、時間を確保して必ず実行してほしい作業です。この作業は、同時にシステム担当者もしくは開発会社に丸投げさせないためにも重要です。業務内容や問題点は伝えたから、あとはよろしく！というのは、後にトラブルを招きます。実務者を巻き込み、責任をもたせてこそ成功プロジェクトへと近づいていきます。
h2,    まとめ
p,            システム開発プロジェクトの成功は要件定義にあり、要件定義の成功には業務整理がある。予算も時間もかかるものだからこそ、丁寧に順を追ってすすめることが重要です。しかしながら、プロの業務コンサルを入れることがすべてではありません。コンサルを入れても自発的な取り組みがなければコストばかりが増えていき、成功にはつながらないので、あくまでコンサルの第三者的意見や、知識・経験談、確立されたフレームワークを参考にさせてもらう程度だと思って導入するのがおすすめです。経営層ともここはしっかり握っておきましょう。
p,            
p,            LINEスタンプの費用や依頼方法のモヤモヤを解消しよう！
p,            ざっくり希望を書くだけで、発注サポート経験豊富な専任スタッフが、 あなたに変わって無料で見積取得を行います！企画中の相談や金額だけが知りたい場合でもご利用いただけます。
p,            ソフトウェア・業務システム開発を外注したいけれども不安がある方へ
